wh_df_dem.tif,wh_df_pre.tif,wh_df_slope.tif,wh_df_tem.tif,Type
0.22508,0.12,0.0336517,0.248447,0
0.221865,0.148571,0.0356922,0.341615,0
0.282958,0.177143,0.110454,0.360248,0
0.315113,0.165714,0.225455,0.31677,0
0.209003,0.12,0.0420602,0.248447,0
0.215434,0.148571,0.0336517,0.341615,0
0.234727,0.148571,0.0531932,0.347825,0
0.212219,0.148571,0.0452982,0.385093,0
0.209003,0.108571,0.0452982,0.248447,0
0.266881,0.165714,0.124772,0.31677,0
0.254019,0.148571,0.0928101,0.347825,0
0.234727,0.148571,0.0252408,0.347825,0
0.215434,0.114286,0.0237975,0.254658,0
0.21865,0.148571,0.0336517,0.341615,0
0.228296,0.171429,0.0490452,0.385093,0
0.212219,0.142857,0.0606412,0.378882,0
0.215434,0.108571,0.0188143,0.248447,0
0.212219,0.154286,0.101501,0.385093,0
0.212219,0.102857,0.0538534,0.260869,0
0.21865,0.171429,0.0723222,0.385093,0
0.292605,0.165714,0.131069,0.31677,0
0.215434,0.114286,0.0531932,0.229813,0
0.212219,0.108571,0.00841439,0.248447,0
0.279743,0.165714,0.172623,0.31677,0
0.215434,0.131429,0.0118996,0.385093,0
0.212219,0.131429,0.0118996,0.42236,0
0.209003,0.131429,0.0877392,0.42236,0
0.250804,0.165714,0.0693331,0.31677,0
0.29582,0.165714,0.224694,0.31677,0
0.205788,0.148571,0.0504659,0.403726,0
0.221865,0.108571,0.00841439,0.217391,0
0.22508,0.114286,0.0452982,0.229813,0
0.215434,0.165714,0.0751919,0.372671,0
0.209003,0.171429,0.0490452,0.391304,0
0.22508,0.114286,0.00841439,0.229814,0
0.21865,0.108571,0.0656729,0.248447,0
0.209003,0.12,0.0188143,0.248447,0
0.205788,0.16,0.0656729,0.409938,0
0.22508,0.12,0.0188143,0.248447,0
0.221865,0.12,0.0266059,0.242236,0
0.228296,0.12,0.0252408,0.248447,0
0.212219,0.114286,0.0252408,0.254658,0
0.231511,0.114286,0.0336517,0.229814,0
0.234727,0.114286,0.0564167,0.229814,0
0.212219,0.12,0.00841439,0.248447,0
0.21865,0.142857,0.0713398,0.322981,0
0.215434,0.131429,0.101154,0.42236,0
0.241158,0.108571,0.034687,0.217391,0
0.231511,0.114286,0.037622,0.229814,0
0.241158,0.171429,0.0983333,0.391304,0
0.231511,0.0685714,0.0266059,0.229813,0
0.215434,0.114286,0.037622,0.31677,0
0.221865,0.171429,0.0713398,0.360248,0
0.241158,0.171429,0.102192,0.391304,0
0.202572,0.108571,0.0303343,0.291925,0
0.250804,0.16,0.0237975,0.378882,0
0.221865,0.137143,0.0266059,0.260869,0
0.215434,0.125714,0.0490452,0.26708,0
0.209003,0.12,0.0188143,0.322981,0
0.202572,0.16,0.0531932,0.409938,0
0.212219,0.142857,0.0356922,0.409938,0
0.21865,0.165714,0.0640398,0.341614,0
0.212219,0.114286,0.0266059,0.31677,0
0.254019,0.16,0.0531932,0.366459,0
0.234727,0.16,0.109175,0.378882,0
0.209003,0.12,0.00841439,0.322981,0
0.244373,0.165714,0.0188143,0.366459,0
0.231511,0.16,0.0908936,0.378882,0
0.209003,0.108571,0.0420602,0.291925,0
0.228296,0.102857,0.037622,0.248447,0
0.209003,0.12,0.0188143,0.322981,0
0.241158,0.16,0.0452982,0.378882,0
0.215434,0.16,0.00841439,0.366459,0
0.221865,0.131429,0.0188143,0.242236,0
0.215434,0.125714,0.0252408,0.26708,0
0.212219,0.12,0.0118996,0.322981,0
0.215434,0.114286,0.0237975,0.279503,0
0.215434,0.114286,0,0.279503,0
0.212219,0.12,0.0266059,0.322981,0
0.215434,0.142857,0.0336517,0.322981,0
0.212219,0.16,0.0266059,0.378882,0
0.212219,0.108571,0.0237975,0.291925,0
0.254019,0.165714,0.059465,0.354037,0
0.21865,0.142857,0.0612208,0.254658,0
0.221865,0.137143,0.0723222,0.260869,0
0.209003,0.12,0.0336517,0.322981,0
0.215434,0.142857,0.0237975,0.322981,0
0.199357,0.114286,0.143547,0.409938,0
0.228296,0.165714,0.0118996,0.341614,0
0.212219,0.125714,0.0336517,0.26708,0
0.209003,0.108571,0.0303343,0.279503,0
0.247588,0.165714,0.0475819,0.354037,0
0.21865,0.114286,0.0188143,0.279503,0
0.221865,0.182857,0.0188143,0.440993,0
0.21865,0.131429,0,0.273291,0
0.215434,0.125714,0.0420602,0.26708,0
0.231511,0.102857,0.0237975,0.248447,0
0.205788,0.114286,0.0511614,0.31677,0
0.21865,0.148571,0.0775015,0.440993,0
0.212219,0.108571,0.058868,0.291925,0
0.22508,0.165714,0.0188143,0.341614,0
0.21865,0.177143,0.0612208,0.385093,0
0.241158,0.188571,0.0452982,0.409937,0
0.205788,0.137143,0.101501,0.453416,0
0.212219,0.108571,0.034687,0.291925,0
0.209003,0.12,0.0118996,0.322981,0
0.22508,0.171429,0.0677888,0.360248,0
0.21865,0.177143,0.034687,0.385093,0
0.228296,0.137143,0.0420602,0.260869,0
0.21865,0.165714,0.037622,0.341614,0
0.205788,0.108571,0.0303343,0.291925,0
0.215434,0.114286,0.0336517,0.279503,0
0.212219,0.148571,0.123926,0.440993,0
0.209003,0.137143,0.037622,0.453416,0
0.221865,0.131429,0.0511614,0.273291,0
0.221865,0.131429,0.0490452,0.273291,0
0.209003,0.12,0.0336517,0.322981,0
0.215434,0.154286,0.0775015,0.37267,0
0.21865,0.154286,0.037622,0.459627,0
0.22508,0.148571,0.0452982,0.440993,1
0.21865,0.16,0.0428927,0.416148,0
0.209003,0.137143,0.00841439,0.453416,0
0.209003,0.154286,0.0656729,0.37267,0
0.212219,0.102857,0.0188143,0.310558,0
0.237942,0.188571,0.0905054,0.409937,0
0.212219,0.165714,0.0713398,0.459627,0
0.221865,0.182857,0.0168282,0.440993,0
0.21865,0.102857,0.0428927,0.310559,0
0.212219,0.12,0.0420602,0.329192,0
0.22508,0.131429,0.0168282,0.291925,0
0.212219,0.148571,0.0252408,0.37267,0
0.221865,0.16,0.0531932,0.409938,0
0.21865,0.148571,0.037622,0.440993,0
0.221865,0.102857,0.0188143,0.248447,0
0.212219,0.102857,0.0303343,0.310559,0
0.257235,0.188571,0.059465,0.403726,0
0.221865,0.154286,0.0168282,0.391304,0
