Highways_R2005_test3.tif,Type
0.00325819,0
0.00304665,1
0.102195,1
0.0585002,1
0.058398,1
0.0098658,0
0.00531512,0
0.0613127,0
0.769562,0
0.0461129,1
0.0562112,0
0.328592,1
0.0436146,1
0.0280669,0
0.0208697,0
0.00415583,0
0.0546606,0
0.0818557,0
0.0286952,0
0.162725,0
0.588989,0
0.0271245,1
0.0362639,1
0.0867658,0
0.04962,0
0.0350958,0
0.0243583,0
0.0356074,1
0.0248429,0
0.783737,0
0.36696,1
0.337834,1
0.262039,1
0.218613,1
0.0300834,1
0.173824,1
0.769002,1
0.751394,0
0.574003,0
0.327494,1
0.792235,0
0.770748,1
0.74861,0
0.0152862,0
0.0285389,0
0.0171156,1
0.0316373,0
0.00915984,0
0.00893801,0
0.0985595,0
0.0706414,0
0.0290704,0
0.0792573,1
0.0292842,0
0.0329464,1
0.71887,0
0.700074,0
0.439716,0
0.0564489,0
0,0
0.0119657,1
0.780866,0
0.708719,0
0.704901,0
0.701151,0
0.00747537,0
0.0913531,0
0.496813,1
0.0190706,0
0.00712663,0
0.658462,0
0.407402,1
0.00887751,0
0.00862739,1
0.0276333,0
0.0893073,0
0.0549096,1
0.00943871,0
0.0147735,0
0.016329,0
0.655944,0
0.637461,0
0.37393,1
0.365267,1
0.0127833,1
0.0733009,1
0.0843419,0
0.0330976,1
0.773176,0
0.664482,0
0.272595,1
0.000676788,1
0.0332936,1
0.00567786,1
0.378873,0
0.00623968,0
0.749935,0
0.00259537,1
0.578682,0
0.174056,1
0.0423096,1
0.122884,1
0.0271232,1
0.00833836,1
0.115833,1
0.011991,0
0.0205912,0
0.00780769,0
0.0328701,0
0.0627164,1
0.0146172,1
0.0128459,1
0.000328291,1
0.0323704,0
0.0563018,0
0.0156928,0
0.00155722,1
0.0240891,0
0.0179726,0
0.457244,1
0.184075,0
0.0161664,1
0.0404161,0
0.0101532,1
0.72597,0
0.6648,0
0.567499,0
0.418178,1
0.177697,0
0.0188263,1
0.00325198,0
0.0128375,0
0.0255943,0
0.02578,1
0.123394,0
0.108371,1
0.0114931,1
0.0190949,1
0.0654441,1
0.00872058,1
0.0100498,0
0.00608114,1
0.712393,0
0.617892,0
0.615741,0
0.0169638,0
0.0114931,0
0.140889,0
0.122445,1
0.00295462,0
0.0381612,1
0.00876757,0
0.668922,0
0.589232,0
0.17963,0
0.0379928,1
0.0404344,0
0.0234216,0
0.013777,1
0.0278624,0
0.0733596,0
0.634092,0
0.492835,0
0.399062,1
0.224139,1
0.0229158,0
0.0213414,1
0.0232797,0
0.12668,0
0.07176,1
0.0745438,1
0.0634507,1
0.626802,0
0.23569,1
0.0451082,0
0.0467535,1
0.0235881,1
0.0127807,1
0.186228,0
0.0441771,1
0.110972,1
0.568115,0
0.0531304,0
0.0557206,0
0.0968861,1
0.613881,0
0.0407135,1
0.0377952,1
0.0375236,1
0.0199519,0
0.00850076,1
0.0878412,1
0.0376183,1
0.733859,0
0.525846,0
0.444428,0
0.142842,1
0.617844,0
0.546579,0
0.000656581,1
0.383839,0
0.0260433,0
0.0117848,0
0.530874,0
0.343561,1
0.0126392,1
0.0485233,1
0.16153,1
0.120285,1
0.0681363,1
0.723432,0
0.546314,0
0.442521,1
0.394572,0
0.302237,1
0.302237,1
0.109375,0
0.064947,1
0.716061,0
0.56802,0
0.50385,0
0.396616,0
0.00602214,0
0.0709838,0
0.12237,1
0.0304537,1
0.56802,0
0.505534,0
0.0747094,0
0.0483442,1
0.138951,1
0.594088,0
0.487812,0
0.00218997,0
0.0336598,1
0.0280688,1
0.0372832,1
0.278704,1
0.0814156,1
0.0594611,1
0.663477,0
0.366501,1
0.0365379,0
0.0888271,0
0.090154,1
0.143698,1
0.00155722,1
0.470478,0
0.0283608,0
0.00376641,1
0.0609897,1
0.0939003,0
0.073381,1
0.663961,0
0.121351,1
0.0415271,0
0.09709,1
0.0964338,1
0.00484298,1
0.0347517,1
0.0371863,1
0.160087,1
0.060295,0
0.0963702,0
0.059013,1
0.0281797,1
0.663484,0
0.103182,1
0.0307583,1
0.0227982,1
0.0298629,0
0.00790373,0
0.0701523,1
0.0660086,1
0.0273628,1
0.2682,0
0.0397247,0
0.026043,0
0.116065,1
0.125482,1
0.114894,1
0.0829584,1
0.667485,0
0.536019,0
0.51865,0
0.0142315,0
0.0579139,1
0.0206148,1
