aSlopwgs84r.tif,ChinaDemSigned1r.tif,cngdp20101r.tif,dist2highwayr.tif,dist2hsrstationsr.tif,dist2importanttownr.tif,dist2iprimaryr.tif,dist2isecondaryr.tif,dist2prefecture_cityr.tif,dist2provincial_capitalr.tif,dist2railwayr.tif,dist2trunkr.tif,HWSD_China_Geo1r.tif,p0p2010_wgs84r.tif,wc2.0_bio_30s_01r.tif,wc2.0_bio_30s_12r.tif,Type
0.247397,0.264378,0.000622083,0.309701,0.374828,0.595719,0.295463,0.200329,0.383676,0.577197,0.355694,0.179963,0.0556492,0,0.777295,0.0562249,0
0.237208,0.392703,0.000562885,0.414961,0.962185,0.610722,0.0602441,0.189912,0.540974,0.320204,0.268174,0.214176,0.959528,0,0.570342,0.065261,0
0.208539,0.225108,0.000871808,0.071499,0.643459,0.738863,0.0836681,0.141083,0.612094,0.419278,0.254192,0.513561,0.0708263,0,0.822108,0.0361446,0
0.207951,0.382189,0.000386596,0.047128,0.537677,0.784563,0.104465,0.241194,0.586817,0.457023,0.301373,0.439122,0.908938,0,0.703965,0.0692771,0
0.163919,0.317563,0.000131331,0.52834,0.895622,0.65245,0.0324958,0.262562,0.622227,0.349937,0.220191,0.282403,0.88027,0,0.6673,0.0471888,0
0.141676,0.410019,0.000562885,0.417467,0.963873,0.61188,0.0656908,0.185826,0.540514,0.320816,0.266101,0.213026,0.959528,0.155927,0.570342,0.065261,0
0.118652,0.207174,0.000157613,0.250713,0.375739,0.572447,0.47409,0.0706492,0.384571,0.591723,0.349487,0.162225,0.0556492,0,0.847637,0.0381526,0
0.261095,0.247062,0.00110279,0.477154,0.869004,0.661695,0.0583317,0.180449,0.615353,0.356489,0.214623,0.300261,0.88027,0,0.711298,0.0291165,0
0.249319,0.402288,0.000562885,0.415174,0.964844,0.611911,0.0756223,0.179757,0.537459,0.321159,0.264914,0.21086,0.959528,0,0.585551,0.0542169,0
0.25355,0.181818,0.000452857,0.00885196,0.437615,0.49313,0.158436,0.210066,0.459553,0.649071,0.280452,0.202483,0.0556492,0,0.835144,0.0562249,0
0.187838,0.401051,0.000562885,0.419829,0.966455,0.613398,0.0766669,0.178102,0.538704,0.321749,0.262925,0.21067,0.959528,0.155927,0.570342,0.065261,0
0.303341,0.248609,0.000626318,0.30668,0.782174,0.69345,0.0639503,0.105593,0.599381,0.378648,0.227903,0.372127,0.959528,0,0.709125,0.0411647,0
0.178293,0.134818,0.0152372,0.117692,0.671946,0.731243,0.0216638,0.195195,0.608968,0.410599,0.237531,0.478021,0.010118,0,0.87887,0.0100402,0
0.208186,0.363018,0.000134931,0.551007,0.971858,0.634346,0.11193,0.188576,0.593813,0.334705,0.235088,0.231481,0.88027,0,0.60239,0.0672691,0
0.452298,0.382498,0.000490288,0.242344,0.413584,0.70039,0.489877,0.210445,0.435597,0.516217,0.385774,0.277037,0.88027,0,0.653178,0.0823293,0
0.224598,0.216759,0.00134844,0.0801728,0.406997,0.516169,0.253929,0.111507,0.422617,0.630292,0.310703,0.169759,0.0556492,0,0.830255,0.064257,0
0.399379,0.193568,0.00120469,0.0390917,0.41746,0.50627,0.209773,0.168938,0.435335,0.63784,0.300955,0.180428,0.0556492,0,0.828897,0.065261,0
0.284983,0.427644,0.000542199,0.393296,0.963029,0.607607,0.109356,0.167342,0.524634,0.320463,0.259724,0.205299,0.957841,0,0.561651,0.0662651,0
0.307835,0.403525,0.000738627,0.409031,0.966616,0.611765,0.0963465,0.16812,0.530981,0.321784,0.26068,0.206469,0.900506,0,0.587452,0.060241,0
0.328404,0.264688,0.000142794,0.265111,0.368312,0.578926,0.391054,0.127873,0.376096,0.586824,0.343145,0.162681,0.0556492,0,0.807985,0.0512048,0
0.206381,0.255411,0.000986581,0.512476,0.991055,0.631066,0.143017,0.191046,0.574531,0.331449,0.2376,0.220937,0.900506,0,0.694731,0.0301205,0
0.413575,0.306741,2.40022e-05,0.175707,0.431152,0.723524,0.367454,0.218209,0.458253,0.504005,0.3512,0.306832,0.902192,0,0.738186,0.064257,0
0.188506,0.352505,2.40022e-05,0.230357,0.41065,0.700521,0.459768,0.192822,0.432651,0.516094,0.378867,0.276459,0.88027,0,0.677621,0.0753012,0
0.425115,0.311688,0.00109789,0.470985,0.985171,0.629001,0.137823,0.169688,0.552225,0.328595,0.241469,0.209424,0.900506,0,0.6912,0.0271084,0
0.224305,0.218305,0.00119967,0.251807,0.363628,0.574063,0.398575,0.120425,0.370762,0.589256,0.336563,0.156383,0.0556492,0,0.822108,0.0451807,0
0.217669,0.218615,0.00108303,0.0708339,0.492732,0.782542,0.163758,0.245854,0.533902,0.474449,0.299265,0.389762,0.908938,0,0.832971,0.0381526,0
0.287992,0.381571,0.00040918,0.570072,0.914724,0.653381,0.0931131,0.212958,0.638779,0.348325,0.213442,0.256499,0.88027,0,0.629549,0.0682731,0
0.283165,0.226036,0.00182232,0.153792,0.68294,0.731558,0.0754356,0.236735,0.615102,0.408013,0.224762,0.458565,0.902192,0,0.84302,0.0271084,0
0.225792,0.208411,0.000481837,0.0936124,0.469619,0.762427,0.237403,0.203551,0.505958,0.484372,0.309391,0.360992,0.902192,0,0.799837,0.0441767,0
0.140455,0.442486,0.000336332,0.562439,0.932451,0.64934,0.167194,0.186151,0.620112,0.344874,0.220044,0.243647,0.0522766,0,0.596415,0.0783133,0
0.185712,0.209647,0.00062676,0.497007,0.870421,0.667303,0.00424863,0.189633,0.631113,0.35856,0.199786,0.286905,0,0,0.726236,0.0210843,0
0.25847,0.227891,0.00046316,0.487241,0.86544,0.66889,0.00531079,0.173539,0.629601,0.359723,0.199439,0.290735,0,0,0.703965,0.0361446,0
0.426635,0.327767,0.000735147,0.406086,0.8235,0.683185,0.0785206,0.0480721,0.619606,0.369915,0.203258,0.324427,0.900506,0,0.67925,0.0562249,0
0.0670526,0.288188,0.000167143,0.284134,0.356918,0.5864,0.275818,0.205762,0.363271,0.580982,0.333475,0.163881,0.0556492,0,0.782455,0.060241,0
0.197385,0.28757,0.00123044,0.271478,0.749824,0.711923,0.0735961,0.16996,0.613793,0.389382,0.20593,0.389003,0.900506,0,0.713471,0.0461847,0
0.436394,0.348794,0.00021504,0.236254,0.730371,0.719798,0.117165,0.236459,0.613843,0.394723,0.205811,0.407817,0.900506,0,0.652091,0.0722892,0
0.312043,0.359307,0.000212211,0.236361,0.39293,0.682859,0.482238,0.195937,0.411166,0.525482,0.373046,0.253226,0.902192,0,0.678164,0.0813253,0
0.0979767,0.151515,0.00175072,0.0462957,0.433427,0.479557,0.0712912,0.155335,0.455739,0.655901,0.290966,0.201424,0.0556492,0,0.851168,0.0572289,0
0.200101,0.235622,0.000420457,0.486505,0.995091,0.63533,0.177758,0.148441,0.551591,0.332196,0.2298,0.204652,0.0522766,0.00362812,0.719174,0.0230924,0
0.052685,0.259122,0.000481837,0.0869693,0.464319,0.759334,0.22088,0.187224,0.500059,0.486103,0.304407,0.356781,0.902192,0,0.799837,0.0441767,0
0.333968,0.292826,0.000384266,0.0962282,0.45734,0.752928,0.239918,0.184831,0.491529,0.489274,0.309512,0.347647,0.902192,0,0.75421,0.064257,0
0.157739,0.314471,0.000276625,0.129715,0.439804,0.736201,0.297878,0.181018,0.469985,0.497656,0.325115,0.324053,0.902192,0,0.749321,0.0732932,0
0.446778,0.300247,2.40022e-05,0.51327,0.874992,0.668518,0.0304341,0.209101,0.639084,0.358571,0.194106,0.27825,0,0,0.703965,0.0381526,0
0.0952055,0.261905,2.40022e-05,0.0509659,0.492312,0.784303,0.115751,0.2412,0.534183,0.474012,0.288033,0.392857,0.908938,0,0.818305,0.0481928,0
0.368905,0.255102,0.000596547,0.472437,0.852255,0.676859,0.0133088,0.136893,0.635172,0.364303,0.189741,0.293801,0,0,0.727865,0.0331325,0
0.0888483,0.31107,0.000303417,0.105008,0.624087,0.755873,0.177358,0.20707,0.640671,0.42705,0.228887,0.510374,0.892074,0,0.762629,0.0592369,0
0.252987,0.223253,0.00108853,0.0191553,0.511967,0.801605,0.0518285,0.29542,0.558224,0.466026,0.274646,0.418431,0.892074,0,0.800923,0.0411647,0
0.250077,0.400124,2.40022e-05,0.0275086,0.554764,0.78347,0.0712517,0.203884,0.609475,0.450254,0.26601,0.46907,0.892074,0,0.696089,0.0813253,0
0.180877,0.367656,2.40022e-05,0.0257421,0.552457,0.784434,0.0603563,0.207233,0.606714,0.451069,0.267709,0.466353,0.892074,0,0.719718,0.0712851,0
0.356519,0.283859,0.000561395,0.0887496,0.451731,0.749825,0.220236,0.167288,0.485334,0.491033,0.303749,0.343443,0.902192,0,0.78164,0.061245,0
0.243822,0.357143,2.40022e-05,0.0283454,0.551509,0.785307,0.063632,0.21121,0.60571,0.451422,0.266147,0.465802,0.892074,0,0.716187,0.0783133,0
0.232424,0.316636,0.000406032,0.375049,0.797245,0.697813,0.0100204,0.00101165,0.62904,0.378505,0.197653,0.336389,0.88027,0,0.707224,0.0562249,0
0.31488,0.199134,0.000526119,0.0692998,0.462362,0.760059,0.17908,0.168641,0.498519,0.48608,0.293089,0.358223,0.902192,0,0.849267,0.0371486,0
0.233538,0.249536,0.00163993,0.0757284,0.455527,0.754163,0.19191,0.160646,0.490264,0.489001,0.296523,0.349779,0.902192,0,0.815046,0.0552209,0
0.109561,0.384354,8.21173e-05,0.273222,0.358581,0.639596,0.182258,0.105153,0.368574,0.548944,0.362521,0.201309,0.0910624,0,0.689571,0.0903614,0
0.267772,0.319419,0.00050936,0.324305,0.345164,0.599126,0.109917,0.124472,0.350519,0.572169,0.326964,0.169352,0.0556492,0,0.727594,0.0863454,0
0.334717,0.33457,0.000208774,0.529489,0.876395,0.673037,0.0810656,0.224732,0.651513,0.360269,0.183198,0.267777,0.88027,0,0.658338,0.0732932,0
0.270346,0.23624,0.000561395,0.084328,0.446651,0.746782,0.206206,0.153774,0.47965,0.492721,0.299735,0.339296,0.902192,0,0.806898,0.0572289,0
0.251243,0.337044,0.000359751,0.214014,0.38219,0.678562,0.492279,0.161499,0.399371,0.527649,0.357753,0.245894,0.902192,0,0.729495,0.0742972,0
0.266607,0.227891,0.000815834,0.0915263,0.441384,0.742305,0.21495,0.153779,0.473325,0.494978,0.302197,0.33294,0.902192,0,0.822379,0.0451807,0
0.304428,0.272109,0.00101316,0.429764,0.822639,0.691022,0.0266388,0.0502018,0.639043,0.373081,0.182099,0.309971,0.88027,0,0.750679,0.0321285,0
0.437113,0.27551,0.000525777,0.169153,0.405676,0.707806,0.30622,0.141494,0.429395,0.512402,0.338094,0.284482,0.902192,0,0.795763,0.064257,0
0.466764,0.244589,0.000525777,0.175705,0.403449,0.705455,0.316945,0.136228,0.426621,0.513609,0.341079,0.281253,0.902192,0,0.821021,0.0491968,0
0.143625,0.331478,0.00050936,0.319374,0.34112,0.596996,0.111653,0.131787,0.345908,0.573122,0.321988,0.16547,0.0556492,0,0.737643,0.0893574,0
0.21294,0.180581,0.000606642,0.118866,0.368284,0.516934,0.23941,0.0217564,0.377864,0.623988,0.33108,0.133346,0.0556492,0,0.860402,0.0522088,0
0.0771815,0.185529,0.000388531,0.00089191,0.510457,0.802447,0.00212431,0.264621,0.557337,0.466338,0.261524,0.420743,0.892074,0,0.828626,0.0321285,0
0.153457,0.19666,0.0224259,0.0629571,0.451306,0.752639,0.160734,0.140545,0.4859,0.490066,0.287869,0.348013,0.902192,0,0.859859,0.0381526,0
0.191185,0.160792,0.000714225,0.0492271,0.413839,0.473565,0.0508284,0.11966,0.433591,0.655657,0.314878,0.183357,0.0556492,0,0.844378,0.063253,0
